current time 20220418_002206
creating new summary file
argv: ['--local_rank=0', '--logdir', '48,32,8', '--dataset=dtu_yao', '--batch_size=1', '--trainpath=./mvs_training/', '--trainlist', 'lists/dtu/train.txt', '--testlist', 'lists/dtu/test.txt', '--numdepth=192', '--depth_inter_r', '4,2,1', '--dlossw', '0.5,1.0,2.0', '--batch_size', '1', '--eval_freq', '3']
################################  args  ################################
mode      	train                         	<class 'str'>       
model     	mvsnet                        	<class 'str'>       
device    	cuda                          	<class 'str'>       
dataset   	dtu_yao                       	<class 'str'>       
trainpath 	./mvs_training/               	<class 'str'>       
testpath  	./mvs_training/               	<class 'str'>       
trainlist 	lists/dtu/train.txt           	<class 'str'>       
testlist  	lists/dtu/test.txt            	<class 'str'>       
epochs    	2                             	<class 'int'>       
lr        	0.001                         	<class 'float'>     
lrepochs  	10,12,14:2                    	<class 'str'>       
wd        	0.0                           	<class 'float'>     
batch_size	1                             	<class 'int'>       
numdepth  	192                           	<class 'int'>       
interval_scale	1.06                          	<class 'float'>     
loadckpt  	None                          	<class 'NoneType'>  
logdir    	48,32,8                       	<class 'str'>       
resume    	False                         	<class 'bool'>      
summary_freq	50                            	<class 'int'>       
save_freq 	1                             	<class 'int'>       
eval_freq 	3                             	<class 'int'>       
seed      	1                             	<class 'int'>       
pin_m     	False                         	<class 'bool'>      
local_rank	0                             	<class 'int'>       
share_cr  	False                         	<class 'bool'>      
ndepths   	48,32,8                       	<class 'str'>       
depth_inter_r	4,2,1                         	<class 'str'>       
dlossw    	0.5,1.0,2.0                   	<class 'str'>       
cr_base_chs	8,8,8                         	<class 'str'>       
grad_method	detach                        	<class 'str'>       
using_apex	False                         	<class 'bool'>      
sync_bn   	False                         	<class 'bool'>      
opt_level 	O0                            	<class 'str'>       
keep_batchnorm_fp32	None                          	<class 'NoneType'>  
loss_scale	None                          	<class 'NoneType'>  
########################################################################
**********netphs:[48, 32, 8], depth_intervals_ratio:[4.0, 2.0, 1.0],  grad:detach, chs:[8, 8, 8]************
*************feature extraction arch mode:fpn****************
start at epoch 0
Number of model parameters: 934304
Let's use 1 GPUs!
mvsdataset kwargs {}
dataset train metas: 27097
mvsdataset kwargs {}
dataset test metas: 7546
Epoch 0:
Epoch 0/2, Iter 0/27097, lr 0.000335, train loss = 332.328, depth loss = 94.844, time = 26.502
Epoch 0/2, Iter 50/27097, lr 0.000401, train loss = 98.470, depth loss = 27.260, time = 1.365
Epoch 0/2, Iter 100/27097, lr 0.000468, train loss = 100.779, depth loss = 28.459, time = 1.305
Epoch 0/2, Iter 150/27097, lr 0.000535, train loss = 74.693, depth loss = 21.032, time = 1.387
Epoch 0/2, Iter 200/27097, lr 0.000601, train loss = 81.420, depth loss = 22.900, time = 1.336
Epoch 0/2, Iter 250/27097, lr 0.000668, train loss = 63.663, depth loss = 17.718, time = 1.291
Epoch 0/2, Iter 300/27097, lr 0.000735, train loss = 64.650, depth loss = 18.468, time = 1.554
Epoch 0/2, Iter 350/27097, lr 0.000801, train loss = 123.161, depth loss = 35.077, time = 1.331
Epoch 0/2, Iter 400/27097, lr 0.000868, train loss = 238.161, depth loss = 68.027, time = 1.383
Epoch 0/2, Iter 450/27097, lr 0.000935, train loss = 72.600, depth loss = 20.285, time = 1.387
Epoch 0/2, Iter 500/27097, lr 0.001000, train loss = 169.941, depth loss = 48.214, time = 1.451
Epoch 0/2, Iter 550/27097, lr 0.001000, train loss = 10.009, depth loss = 2.562, time = 1.365
Epoch 0/2, Iter 600/27097, lr 0.001000, train loss = 141.286, depth loss = 39.740, time = 1.334
Epoch 0/2, Iter 650/27097, lr 0.001000, train loss = 12.462, depth loss = 3.339, time = 1.343
Epoch 0/2, Iter 700/27097, lr 0.001000, train loss = 57.150, depth loss = 16.017, time = 1.329
Epoch 0/2, Iter 750/27097, lr 0.001000, train loss = 54.067, depth loss = 15.252, time = 1.398
Epoch 0/2, Iter 800/27097, lr 0.001000, train loss = 36.618, depth loss = 10.010, time = 1.340
Epoch 0/2, Iter 850/27097, lr 0.001000, train loss = 28.635, depth loss = 7.933, time = 1.368
Epoch 0/2, Iter 900/27097, lr 0.001000, train loss = 78.622, depth loss = 22.137, time = 1.295
Epoch 0/2, Iter 950/27097, lr 0.001000, train loss = 95.590, depth loss = 27.293, time = 1.400
Epoch 0/2, Iter 1000/27097, lr 0.001000, train loss = 36.621, depth loss = 10.257, time = 1.299
Epoch 0/2, Iter 1050/27097, lr 0.001000, train loss = 32.283, depth loss = 9.087, time = 1.333
Epoch 0/2, Iter 1100/27097, lr 0.001000, train loss = 226.755, depth loss = 63.257, time = 1.276
Epoch 0/2, Iter 1150/27097, lr 0.001000, train loss = 34.690, depth loss = 9.659, time = 1.392
Epoch 0/2, Iter 1200/27097, lr 0.001000, train loss = 56.023, depth loss = 16.082, time = 1.308
